momentum_lbw,momentum_th,SSO_smoothing_factor,volume_trigger_duration,volume_power,sharpe,returns
1,0.12,4,25,4,-0.332185185,-0.258444444
1,0.12,4,25,5,-0.304037037,-0.228703704
1,0.19,1,1,1,0.369592593,0.184555556
1,0.19,1,1,2,0.459703704,0.157814815
1,0.19,1,1,3,0.453333333,0.116666667
1,0.19,1,1,4,0.301037037,0.080703704
1,0.19,1,1,5,0.185962963,0.059888889
1,0.19,1,9,1,0.130074074,0.090148148
1,0.19,1,9,2,0.337407407,0.161814815
1,0.19,1,9,3,0.346444444,0.146037037
1,0.19,1,9,4,0.262148148,0.106962963
1,0.19,1,9,5,0.180185185,0.082444444
1,0.19,1,17,1,0.104888889,0.093296296
1,0.19,1,17,2,0.203777778,0.119296296
1,0.19,1,17,3,0.17662963,0.089777778
1,0.19,1,17,4,0.095555556,0.061111111
1,0.19,1,17,5,0.020111111,0.037703704
1,0.19,1,25,1,0.109111111,0.105111111
1,0.19,1,25,2,0.07137037,0.074037037
1,0.19,1,25,3,0.149888889,0.092703704
1,0.19,1,25,4,0.072,0.057111111
1,0.19,1,25,5,0.015740741,0.039333333
1,0.19,2,1,1,0.274074074,0.068592593
1,0.19,2,1,2,0.360888889,0.080592593
1,0.19,2,1,3,0.279185185,0.040925926
1,0.19,2,1,4,0.098481481,0.008444444
1,0.19,2,1,5,0.004296296,0.002962963
1,0.19,2,9,1,0.04462963,-0.044666667
1,0.19,2,9,2,0.170333333,0.01662963
1,0.19,2,9,3,0.114888889,0.007407407
1,0.19,2,9,4,0.058444444,0.002296296
1,0.19,2,9,5,-0.000518519,0.00562963
1,0.19,2,17,1,0.058518519,-0.042962963
1,0.19,2,17,2,0.080814815,-0.044222222
1,0.19,2,17,3,-0.011925926,-0.071444444
1,0.19,2,17,4,-0.068518519,-0.069592593
1,0.19,2,17,5,-0.133925926,-0.071962963
1,0.19,2,25,1,0.079222222,-0.02837037
1,0.19,2,25,2,0.038962963,-0.054296296
1,0.19,2,25,3,0.035259259,-0.05537037
1,0.19,2,25,4,-0.042111111,-0.075111111
1,0.19,2,25,5,-0.078185185,-0.071148148
1,0.19,3,1,1,0.125814815,-0.066333333
1,0.19,3,1,2,0.205592593,-0.041185185
1,0.19,3,1,3,0.133703704,-0.002740741
1,0.19,3,1,4,-0.002925926,-0.00862963
1,0.19,3,1,5,-0.074407407,-0.008518519
1,0.19,3,9,1,-0.19137037,-0.24762963
1,0.19,3,9,2,-0.015333333,-0.144407407
1,0.19,3,9,3,-0.017925926,-0.113518519
1,0.19,3,9,4,-0.114592593,-0.053962963
1,0.19,3,9,5,-0.177592593,-0.04937037
1,0.19,3,17,1,-0.195185185,-0.244888889
1,0.19,3,17,2,-0.115777778,-0.213444444
1,0.19,3,17,3,-0.133740741,-0.193518519
1,0.19,3,17,4,-0.251962963,-0.123592593
1,0.19,3,17,5,-0.265333333,-0.104518519
1,0.19,3,25,1,-0.210185185,-0.256185185
